ID,Nombre Pelicula/Serie,Duración,Género,Calificación,Fecha Estreno,ID Episodio,Nombre Episodio,Temporada,Num Episodio
tt0944947,Game Of Thrones,57,Accion&Aventura&Drama&Fantasy&Romance,6.3,04/17/2011,tt1668899,Winter Is Coming,1,1
tt0107290,Jurassic Park,127,Accion&Aventura&Sci-Fi&Suspenso,5.7,06/11/1993,,,,
tt0944947,Game Of Thrones,57,Accion&Aventura&Drama&Fantasy&Romance,6.2,02/04/2011,tt1668746,The Kingsroad,1,2
tt0944947,Game Of Thrones,57,Accion&Aventura&Drama&Fantasy&Romance,6.1,01/05/2011,tt1829962,Lord Snow,1,3
tt0944947,Game Of Thrones,57,Accion&Aventura&Drama&Fantasy&Romance,6.2,08/05/2011,tt1829963,Cripples Bastards And Broken Things,1,4
tt0944947,Game Of Thrones,57,Accion&Aventura&Drama&Fantasy&Romance,6.4,12/05/2011,tt1829964,The Wolf And The Lion,1,5
tt0944947,Game Of Thrones,57,Accion&Aventura&Drama&Fantasy&Romance,6.8,05/22/2011,tt1837862,A Golden Crown,1,6
tt0944947,Game Of Thrones,57,Accion&Aventura&Drama&Fantasy&Romance,6.4,05/29/2011,tt1837863,You Win Or You Die,1,7
tt0944947,Game Of Thrones,57,Accion&Aventura&Drama&Fantasy&Romance,6.3,06/05/2011,tt1837864,The Pointy End,1,8
tt0944947,Game Of Thrones,57,Accion&Aventura&Drama&Fantasy&Romance,6.7,06/12/2011,tt1851398,Baelor,1,9
tt0796366,Star Trek,127,Accion&Aventura&Sci-Fi,5.5,05/08/2009,,,,
tt0120762,Mulan,88,Animacion&Aventura&Familiar&Fantasy&Musical&Guerra,5.3,06/19/1998,,,,
tt0120131,The Lion King 2: Simba Pride,81,Animacion&Aventura&Drama&Familiar&Musical&Romance,4.6,10/27/1998,,,,
tt0078346,Superman,143,Accion&Aventura&Drama&Sci-Fi,5.1,12/15/1978,,,,
tt0096895,Batman,126,Accion&Aventura,5.3,06/23/1989,,,,
tt0848228,The Avengers,143,Accion&Aventura&Sci-Fi,5.6,05/04/2012,,,,
tt0415778,End Game,93,Accion&Crimen&Drama&Misterio&Suspenso,3.6,07/21/2006,,,,
tt0108778,Friends,22,Comedia&Romance,5.9,09/22/1994,tt0583459,The One Where Monica Gets A Roommate,1,1
tt0108778,Friends,22,Comedia&Romance,5.7,09/29/1994,tt0583647,The One With The Sonogram At The End,1,2
tt0108778,Friends,22,Comedia&Romance,5.7,10/06/1994,tt0583653,The One With The Thumb,1,3
tt1853728,Django Unchained,165,Drama&Western,5.9,12/25/2012,,,,
tt1442437,Modern Familiar,22,Comedia&Drama&Romance,5.9,09/23/2009,tt1444504,Pilot,1,1
tt1638002,Love Rosie ,102,Comedia&Romance,5.0,10/22/2014,,,,
tt0088763,Back To The Future,116,Aventura&Comedia&Sci-Fi,6.9,07/03/1985,,,,
tt1485796,The Greatest Showman,105,Biografia&Drama&Musical,5.3,12/20/2017,,,,
tt4116284,The Lego Batman Movie,104,Animacion&Accion&Comedia&Familiar,5.1,02/10/2017,,,,
tt1442437,Modern Familiar,22,Comedia&Drama&Romance,5.7,09/23/2009,tt1492032,The Bicycle Thief,1,2
tt1442437,Modern Familiar,22,Comedia&Drama&Romance,5.6,10/07/2009,tt1520618,Come Fly With Me,1,3
tt2935510,Ad Astra,123,Aventura&Drama&Misterio' Sci-Fi' Suspenso,4.6,09/20/2019,,,,
tt8579674,1917,119,Drama&Guerra,5.8,01/10/2020,,,,
tt2584384,Jojo Rabbit,108,Comedia&Drama,5.5,11/08/2019,,,,
tt0903624,The Hobbit: An Unexpected Journey,169,Aventura&Familiar&Fantasy,5.5,12/14/2012,,,,
tt2661044,The 100,43,Drama&Misterio&Sci-Fi,5.3,03/19/2014,tt2912494,Pilot,1,1
tt2661044,The 100,43,Drama&Misterio&Sci-Fi,5.3,03/26/2014,tt3143980,Earth Skills,1,2
tt2661044,The 100,43,Drama&Misterio&Sci-Fi,5.5,04/02/2014,tt3143986,Earth Skills,1,3
tt0096697,The Simpsons,22,Animacion&Comedia,5.4,01/14/1990,tt0756593,Bart The Genius,1,1
tt0096697,The Simpsons,22,Animacion&Comedia,5.4,01/28/1990,tt0756399,There No Disgrace Like Home,1,3
tt0096697,The Simpsons,22,Animacion&Comedia,5.2,01/21/1990,tt0701124,Homer Odyssey,1,2
A01379812,The Sponge Bob Square Pants Movie,87,Animacion&Aventura&Comedia&Familiar&Fantasy,4.6,11/19/2004,,,,
tt1748122,Moonrise Kingdom,94,Comedia&Drama&Romance,5.5,06/29/2012,,,,
tt0416449,300,117,Accion&Drama ,5.3,03/09/2006,,,,
tt0898266,The Big Bang Theory,19.24,Comedia&Romance ,5.1,02/02/2017,tt6414316,The Emotion Detection Automation,10,14
tt0266697,Kill Bill: Volume 1,111,Accion&Crimen&Suspenso,5.7,10/10/2003,,,,
tt0106062,Matrix,60,Accion&Drama&Fantasy&Suspenso,5.5,03/01/1993,,,,
tt1790864,The Maze Runner,113,Suspenso,4.8,09/09/2014,,,,
tt3014284,The Lego Ninjago Movie,101,Animacion&Accion&Aventura&Comedia&Familiar,4.2,09/22/2017,,,,
tt0126029,Shrek,90,Animacion&Aventura&Comedia&Familiar&Fantasy,5.5,05/18/2001,,,,
tt0298148,Shrek 2,93,Animacion&Aventura&Comedia&Familiar&Fantasy&Romance,5.0,05/19/2004,,,,
tt8236556,Memories Of The Alhambra,60,Drama&Romance&Sci-Fi&Suspenso,6.1,12/01/2018,tt9367716,Episode 1,1,1
tt5071412,Ozark,60,Crimen&Drama&Suspenso,5.9,07/21/2017,,,,
tt0877057,Death Note,24,Animacion&Crimen&Drama&Fantasy&Misterio&Suspenso,6.3,10/21/2007,tt0900488,Confrontation,1,2
tt0900488,The Prestige,130,Drama&Misterio&Sci-Fi&Suspenso,6.0,10/20/2006,,,,
tt0110912,Pulp Fiction,154,Crimen&Drama,6.2,10/14/1994,,,,
tt2051178,Fate Zero,24,Animacion&Accion&Drama&Fantasy&Suspenso,5.8,10/01/2011,tt2159235,Masp No Yaiba,1,4
tt3339966,Unbreakable Kimmy Schmidt,30,Comedia&Drama,5.3,03/06/2015,tt6257244,Kimmy Roommate Lemonades!,3,2
tt2085059,Black Mirror,60,Drama&Sci-Fi&Suspenso,6.2,12/04/2011,tt2542420,White Bear,2,2
tt7569592,Chilling Aventura of Sabrina,60,Drama&Fantasy&Terror&Misterio&Suspenso,5.3,10/26/2018,tt7697970,Chapter Eighteen: The Miracles Of Sabrina Spellman,2,7
tt1855325,Resident Evil: Retribution,95,Accion&Aventura&Fantasy&Terror&Sci-Fi&Suspenso,3.8,09/14/2012,,,,
tt0898266,The Big Bang Theory,22,Comedia&Romance,5.7,05/01/2006,tt1256039,The Lizard-Spock Expansion,2,8
tt0468569,The Dark Knight,152,Accion&Crimen&Drama&Suspenso,6.3,07/18/2008,,,,
tt4574334,Stranger Things,51,Drama&Fantasy&Terror&Misterio&Sci-Fi&Suspenso,6.2,07/15/2016,tt4593132,Chapter Six: The Monster,1,6
tt5580146,Maniac,10,Comedia&Drama&Sci-Fi,5.5,09/21/2018,tt7741834,The Lake Of The Clouds,1,8
tt0448157,Hancock,92,Accion&Fantasy,4.5,07/02/2008,,,,
tt1663662,Pacific Rim,131,Accion&Aventura&Sci-Fi,4.8,07/12/2013,,,,
tt0810819,The Danish Girl,119,Biografia&Drama&Romance,5.0,01/22/2016,,,,
tt4633694,Spider-Man: Into The Spider-Verse,117,Animacion&Accion&Aventura&Familiar&Sci-Fi,5.9,12/14/2018,,,,